authors,hrefs
"Zhang, Xingcheng and Li, Zhizhong and Change Loy, Chen and Lin, Dahua",content_cvpr_2017/papers/Zhang_PolyNet_A_Pursuit_CVPR_2017_paper.pdf
"Kang, Kai and Li, Hongsheng and Xiao, Tong and Ouyang, Wanli and Yan, Junjie and Liu, Xihui and Wang, Xiaogang",content_cvpr_2017/papers/Kang_Object_Detection_in_CVPR_2017_paper.pdf
"Da, Cheng and Xu, Shibiao and Ding, Kun and Meng, Gaofeng and Xiang, Shiming and Pan, Chunhong",content_cvpr_2017/papers/Da_AMVH_Asymmetric_Multi-Valued_CVPR_2017_paper.pdf
"Kehl, Wadim and Tombari, Federico and Ilic, Slobodan and Navab, Nassir",content_cvpr_2017/papers/Kehl_Real-Time_3D_Model_CVPR_2017_paper.pdf
"Richard, Alexander and Kuehne, Hilde and Gall, Juergen",content_cvpr_2017/papers/Richard_Weakly_Supervised_Action_CVPR_2017_paper.pdf
"Xue, Jia and Zhang, Hang and Dana, Kristin and Nishino, Ko",content_cvpr_2017/papers/Xue_Differential_Angular_Imaging_CVPR_2017_paper.pdf
"Ma, Wei-Chiu and Huang, De-An and Lee, Namhoon and Kitani, Kris M.",content_cvpr_2017/papers/Ma_Forecasting_Interactive_Dynamics_CVPR_2017_paper.pdf
"Huang, Haozhi and Wang, Hao and Luo, Wenhan and Ma, Lin and Jiang, Wenhao and Zhu, Xiaolong and Li, Zhifeng and Liu, Wei",content_cvpr_2017/papers/Huang_Real-Time_Neural_Style_CVPR_2017_paper.pdf
"Liu, Juncheng and Lian, Zhouhui and Wang, Yi and Xiao, Jianguo",content_cvpr_2017/papers/Liu_Incremental_Kernel_Null_CVPR_2017_paper.pdf
"Ito, Eisuke and Okatani, Takayuki",content_cvpr_2017/papers/Ito_Self-Calibration-Based_Approach_to_CVPR_2017_paper.pdf
"Lin, Mude and Lin, Liang and Liang, Xiaodan and Wang, Keze and Cheng, Hui",content_cvpr_2017/papers/Lin_Recurrent_3D_Pose_CVPR_2017_paper.pdf
"Larsson, Viktor and Astrom, Kalle and Oskarsson, Magnus",content_cvpr_2017/papers/Larsson_Efficient_Solvers_for_CVPR_2017_paper.pdf
"Veit, Andreas and Belongie, Serge and Karaletsos, Theofanis",content_cvpr_2017/papers/Veit_Conditional_Similarity_Networks_CVPR_2017_paper.pdf
