Person:,Organization:
 Shutao Xia,Tsinghua University
 Sudanthi Wijewickrema,University of Melbourne
 James Bailey,The University of Melbourne
Han-Jia Ye,Nanjing University
 De-Chuan Zhan,Nanjing University
 Yuan Jiang,Nanjing University
 Zhi-Hua Zhou,Nanjing University
Iaroslav Ganin,Montreal Institute for Learning Algorithms
 Tejas Kulkarni,DeepMind
 Igor Babuschkin,
 S. M. Ali Eslami,DeepMind
 Oriol Vinyals,DeepMind
Binxin Ru,University of Oxford
 Michael A Osborne,U Oxford
 Mark Mcleod,University of Oxford
 Diego Granziol,Oxford
Clarice Poon,University of Cambridge
 Jingwei Liang,University of Cambridge
 Carola-Bibiane Schönlieb,University of Cambridge
Ya-Ping Hsieh,École Polytechnique Fédérale d
 Ehsan Asadi Kangarshahi,University of Cambridge
 Mehmet Fatih Sahin,Ecole Polytechnique Fédérale de Lausanne
 Volkan Cevher,EPFL
Ron Amit,Technion �?Israel Institute of Technology
 Ron Meir,Technion Israeli Institute of Technology
Andrew Lan,Princeton University
 Mung Chiang,Purdue University
 Christoph Studer,Cornell University
Paavo Parmas,Okinawa Institute of Science and Technology Graduate University
 Kenji Doya,Okinawa Institute of Science and Technology
 Carl E Rasmussen,Cambridge University
 Jan Peters,TU Darmstadt + Max Planck Institute for Intelligent Systems
Siavash Haghiri,University of Tübingen
 Damien Garreau,Max Planck Institute
 Ulrike von Luxburg,University of Tübingen
Peter Bartlett,UC Berkeley
 Dave Helmbold,
 Phil Long,Google
Yoon Kim,Harvard University
 Sam Wiseman,Harvard University
 Andrew Miller,Harvard
 David Sontag,Massachusetts Institute of Technology
 Alexander Rush,Harvard University
ST John,PROWLER.io
 James Hensman,PROWLER.io
Chao Tao,Indiana University Bloomington
 Saúl A. Blanco,Indiana University
 Yuan Zhou,Indiana University Bloomington
Ilja Kuzborskij,University of Milan
 Christoph Lampert,IST Austria
Surbhi Goel,University of Texas at Austin
 Adam Klivans,University of Texas at Austin
 Raghu Meka,UCLA
Tuomas Haarnoja,UC Berkeley
 Aurick Zhou,UC Berkeley
 Pieter Abbeel,OpenAI / UC Berkeley
 Sergey Levine,Berkeley
Samuel Greydanus,Oregon State University
 Anurag Koul,Oregon State University
 Jonathan Dodge,Oregon State University
 Alan Fern,Oregon State University
Tammo Rukat,University of Oxford
 Christopher Holmes,University of Oxford
 Christopher Yau,University of Birmingham
Lijun Zhang,Nanjing University
 Tianbao Yang,The University of Iowa
 rong jin,alibaba group
 Zhi-Hua Zhou,Nanjing University
Songbai Yan,University of California San Diego
 Kamalika Chaudhuri,University of California at San Diego
 Tara Javidi,University of California San Diego
Mengye Ren,Uber ATG / University of Toronto
 Wenyuan Zeng,
 Bin Yang,University of Toronto
 Raquel Urtasun,University of Toronto
Qianxiao Li,"Institute of High Performance Computing, A*STAR, Singapore"
 IHPC Shuji Hao,"IHPC, A*STAR"
Thomas Laurent,Loyola Marymount University
 James von Brecht,CSULB
Min Ye,Princeton University
 Emmanuel Abbe,
Mao Ye,PURDUE UNIVERSITY
 Yan Sun,Purdue University
Huasen Wu,
 Xueying Guo,University of California Davis
 Xin Liu,"University of California, Davis"
Zhibing Zhao,Rensselaer Polytechnic Institute
 Lirong Xia,RPI
Renjie Liao,University of Toronto
 Yuwen Xiong,Uber ATG / University of Toronto
