Person:,Organization:
Roman Budylin,Yandex
 Alexey Drutsa,Yandex
 Ilya Katsev,Yandex
 Valeriya Tsoy,Yandex
Tobias Schnabel,Cornell University
 Paul Bennett,Microsoft
 Susan Dumais,Microsoft
 Thorsten Joachims,"Cornell University, Dept. of Computer Science"
Austin Benson,Cornell University
 Ravi Kumar,Google
 Andrew Tomkins,Google
Zijun Yao,Rutgers University
 Yifan Sun,Technicolor Research
 Weicong Ding,Amazon
 Nikhil Rao,Amazon
 Hui Xiong,Rutgers University
Mojtaba Rezvani,Australian National University
 Qing Wang,Australian National University
 Weifa Liang,Australian National University
Wenjian Hu,UC Davis
 Krishna Kumar Singh,UC Davis
 Fanyi Xiao,UC Davis
 Jinyoung Han,Hanyang University
 Chen-Nee Chuah,UC Davis
 Yong Jae Lee,UC Davis
Yu-Ting Wen,National Chiao Tung University
 Wen-Chih Peng,National Chiao Tung University
 Pei-Wen Yeh,National Chiao Tung University
 Hong-Han Shuai,National Chiao Tung University
Zhaoyang Liu,Shanghai Jiao Tong University
 Yanyan Shen,Shanghai Jiao Tong University
 Yanmin Zhu,Shanghai Jiao Tong University
Zeqiu Wu,University of Illinois at Urbana-Champaign
 Xiang Ren,University of Illinois at Urbana-Champaign
 Frank F. Xu,Shanghai Jiao Tong University
 Ji Li,University of Illinois at Urbana-Champaign
 Jiawei Han,University of Illinois at Urbana-Champaign
Meng Qu,University of Illinois at Urbana-Champaign
 Jian Tang,HEC Montreal & Montreal Institute of Learning Algorithms
 Jiawei Han,University of Illinois at Urbana-Champaign
Mingming Sun,Baidu Research
 Xu Li,Baidu Research
 Xin Wang,Baidu Research
 Miao Fan,Baidu Research
 Yue Feng,Baidu Research
 Ping Li,Baidu Research
Ido Guy,Ben-Gurion University of the Negev
 Alexander Nus,eBay
 Dan Pelleg,Yahoo Research
 Idan Szpektor,Google
Zhengshen Jiang,Peking University
 Hongzhi Liu,Peking University
 Bin Fu,Peking University
 Zhonghai Wu,Peking University
 Tao Zhang,Beijing Huapinborui Network Technology Company
Katrien Laenen,KU Leuven
 Susana Zoghbi,KU Leuven
 Marie-Francine Moens,KU Leuven
Qian Yu,The Chinese University of Hong Kong
 Wai Lam,The Chinese University of Hong Kong
Matteo Ceccarello,DEI - Università di Padova
 Andrea Pietracaprina,DEI - Università di Padova
 Geppino Pucci,"DEI - Università di Padova, Italy"
Sharad Nandanwar,"Department of Computer Science &amp; Automation, Indian Institute of Science"
 Aayush Moroney,Indian Institute of Science
 Narasimha Murty Musti,Indian Institute of Science
Saehan Jo,Seoul National University
 Jaemin Yoo,Seoul National University
 U Kang,Seoul National University
Jun Hu,Rutgers University
 Ping Li,Rutgers University
Kien Pham,New York University
 Aecio Santos,New York University
 Juliana Freire,New York University
Farig Sadeque,University of Arizona
 Dongfang Xu,University of Arizona
 Steven Bethard,University of Arizona
Wei Niu,Texas A&M University
 James Caverlee,Texas A&M University
 Haokai Lu,Texas A&M University
Srijan Kumar,Stanford University
 Bryan Hooi,CMU
 Disha Makhija,"Flipkart, India"
 Mohit Kumar,Flipkart
 Christos Faloutsos,Carnegie Mellon University
 V.S. Subrahmanian,Dartmouth College
Hamed Zamani,University of Massachusetts Amherst
 Bhaskar Mitra,Microsoft
 Xia Song,Microsoft
 Nick Craswell,Microsoft
 Saurabh Tiwary,Microsoft
Thang Bui,University of Cambridge
 Sujith Ravi,Google
 Vivek Ramavajjala,Google
Saeid Balaneshinkordan,Wayne State University
 Alexander Kotov,Wayne State University
Md. Mehrab Tanjim,Bangladesh University of Engineering and Technology
 Muhammad Abdullah Adnan,Bangladesh University of Engineering and Technology
