authors,titles,hrefs
Joern-Henrik Jacobsen · Arnold W Smeulders · Edouard   Oyallon,i-RevNet: Deep Invertible Networks,https://openreview.net/forum?id=HJsjkMb0Z
Mickael Chen · Ludovic Denoyer · thierry artieres,Multi-View Data Generation Without View Supervision,https://openreview.net/forum?id=ryRh0bb0Z
Hao Liu · Yihao Feng · Yi   Mao · Dengyong Zhou · Jian   Peng ·  ,Action-dependent Control Variates for Policy Optimization via Stein Identity,https://openreview.net/forum?id=H1mCp-ZRZ
Christian   Buck · Jannis Bulian · Massimiliano Ciaramita · Wojciech Gajewski · Andrea   Gesmundo · Neil Houlsby · Wei   Wang.,Ask the Right Questions: Active Question Reformulation with Reinforcement Learning,https://openreview.net/forum?id=S1CChZ-CZ
Vitchyr Pong · Shixiang Gu · Murtaza   Dalal · Sergey Levine,Temporal Difference Models: Model-Free Deep RL for Model-Based Control,https://openreview.net/forum?id=Skw0n-W0Z
Thanard Kurutach · Ignasi Clavera · Yan   Duan · Aviv   Tamar · Pieter Abbeel,Model-Ensemble Trust-Region Policy Optimization,https://openreview.net/forum?id=SJJinbWRZ
Peter J Liu · Mohammad Saleh · Etienne Pot · Ben Goodrich · Ryan Sepassi · Lukasz Kaiser · Noam   Shazeer,Generating Wikipedia by Summarizing Long Sequences,https://openreview.net/forum?id=Hyg0vbWC-
Yikang Shen · Zhouhan Lin · Chin-Wei Huang · Aaron Courville,Neural Language Modeling by Jointly Learning Syntax and Lexicon,https://openreview.net/forum?id=rkgOLb-0W
Bo Zong · Qi Song · Martin Min · Wei Cheng · Cristian Lumezanu · Daeki   Cho · Haifeng   Chen,Deep Autoencoding Gaussian Mixture Model for Unsupervised Anomaly Detection,https://openreview.net/forum?id=BJJLHbb0-
Lajanugen Logeswaran · Honglak Lee,An efficient framework for learning sentence representations,https://openreview.net/forum?id=rJvJXZb0W
Georgios Arvanitidis · Lars K Hansen · Søren Hauberg,Latent Space Oddity: on the Curvature of Deep Generative Models,https://openreview.net/forum?id=SJzRZ-WCZ
Anubhav Ashok · Nicholas Rhinehart · Fares   Beainy · Kris M Kitani,N2N learning: Network to Network Compression via Policy Gradient Reinforcement Learning,https://openreview.net/forum?id=B1hcZZ-AW
Wu Lin · Nicolas Daniel Hubacher · Mohammad Emtiyaz Khan,Variational Message Passing with Structured Inference Networks,https://openreview.net/forum?id=HyH9lbZAW
Angeliki Lazaridou · Karl M Hermann · Karl Tuyls · Stephen Clark,Emergence of Linguistic Communication from  Referential Games with Symbolic and Pixel Input,https://openreview.net/forum?id=HJGv1Z-AW
Irina Higgins · Nicolas Sonnerat · Loic Matthey · Arka   Pal · Christopher P Burgess · Matko Bošnjak · Murray   Shanahan · Matthew   Botvinick ·   · Alexander Lerchner,SCAN: Learning Hierarchical Compositional Visual Concepts,https://openreview.net/forum?id=rkN2Il-RZ
Tomer Galanti · Lior Wolf · Sagie Benaim,The Role of Minimal Complexity Functions in Unsupervised Learning of Semantic Mappings,https://openreview.net/forum?id=H1VjBebR-
Aleksander Wieczorek · Mario Wieser · Damian Murezzan · Volker Roth,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck,https://openreview.net/forum?id=Hk0wHx-RW
